h3,similarity
86309a56fffffff,0.9340017014236444
864196547ffffff,0.8460109960975242
863098857ffffff,0.8652817241838762
86309825fffffff,0.9907217422361003
8630acc1fffffff,0.8428532404780202
8641b2cb7ffffff,0.8768689833156762
86309a0b7ffffff,0.915475534671245
8641b5227ffffff,0.7833661988586169
8630980b7ffffff,0.9074942618117006
8641b5b57ffffff,0.6270843227391321
8641a10cfffffff,0.484532048713587
8630981a7ffffff,0.9382086686271192
8630b3a5fffffff,0.5686905722673331
8630994c7ffffff,0.9676017293168642
864b328f7ffffff,0.813458964143244
8630a55b7ffffff,0.7062257350584786
863080cafffffff,0.637328343952545
86419d4b7ffffff,0.8193509884406274
86309c027ffffff,0.7964691490922691
863099407ffffff,0.9787306645552413
86418c857ffffff,0.5467631543422458
86418892fffffff,0.6173737076422994
8630a272fffffff,0.6423818832627598
86418890fffffff,0.5835015801739959
863091cc7ffffff,0.932552721604613
86309a51fffffff,0.9216906486184809
86309951fffffff,0.9885566581929455
863011467ffffff,0.7804921771778942
8630acc87ffffff,0.8515836493429412
86309dd37ffffff,0.7998966036066725
8630982c7ffffff,0.9851006315637103
8641b5b5fffffff,0.6969795131927742
86309d547ffffff,0.9260011426093127
86309b8c7ffffff,0.9467303305761323
8641b2867ffffff,0.6993104516402389
86419479fffffff,0.8241155712488946
86309b877ffffff,0.9807223936584668
8641832dfffffff,0.7681298422160701
8641b2197ffffff,0.8245499395352895
8630b0a37ffffff,0.6382225664727128
86309aa17ffffff,0.8050408737333041
8630994f7ffffff,0.985034827685943
863099507ffffff,0.9694864926663564
86309b957ffffff,0.9801071906238166
864b30d77ffffff,0.7225724470712783
8641814a7ffffff,0.579185982319894
8630b0697ffffff,0.6229973481598357
86309a08fffffff,0.8797699949095878
863091ccfffffff,0.9406558713959805
86309ec6fffffff,0.8591494780552731
8641b2d5fffffff,0.8384782450928774
86309c6c7ffffff,0.9211273198027046
8630a1297ffffff,0.8078246905473949
86419685fffffff,0.8213517112464155
8641b5367ffffff,0.7860231693112608
863093c47ffffff,0.853774659460355
8641a5607ffffff,0.6804794859219623
86309e947ffffff,0.8209596210120109
86308600fffffff,0.6628432887465411
863082697ffffff,0.8983625595542047
864b34207ffffff,0.894993038932416
863083907ffffff,0.846703890990026
8630a12f7ffffff,0.8398534351437733
86419451fffffff,0.7449877852079024
86309bd27ffffff,0.8724767126643324
8630b4857ffffff,0.4847895949390238
863092297ffffff,0.759682115629154
863091c6fffffff,0.8774877350504781
86309aa2fffffff,0.8875631519020835
86309aa47ffffff,0.8706986572680466
86309c4dfffffff,0.9348276994148061
8641a0d67ffffff,0.7936376274620287
8630982d7ffffff,0.9825532562935959
864b342b7ffffff,0.8420300156714957
8641925afffffff,0.7709120955972711
863198057ffffff,0.3847913127195212
8630a0787ffffff,0.44624754865321986
86309e14fffffff,0.8776640158711317
863090a5fffffff,0.8009122880544381
8641a0c27ffffff,0.711401848650723
863098017ffffff,0.9332112331491282
8641a34efffffff,0.5200688872680583
8641a6297ffffff,0.7292092631526539
86309a5a7ffffff,0.9147452270703249
86309bb27ffffff,0.9856242949393649
8630a6a97ffffff,0.6689262670678097
86309a82fffffff,0.8793978934689837
86309c82fffffff,0.8509039777544052
86309a637ffffff,0.8893898865517522
8641a0867ffffff,0.8004205737252665
8630a1207ffffff,0.7955264046065047
8630b254fffffff,0.30233074512608843
863093757ffffff,0.6888571238163798
8641b0a6fffffff,0.6825964590365283
8630a3067ffffff,0.7204370092300665
8630a314fffffff,0.695901204570559
864192d57ffffff,0.7901621153742291
86309629fffffff,0.8170922261490775
863012357ffffff,0.5528443282511795
8641a0b37ffffff,0.7992163058955118
86309832fffffff,0.9019951354596073
86308391fffffff,0.8443554905856134
8641a8447ffffff,0.18902950456240988
86308620fffffff,0.7549512987959278
86301254fffffff,0.5946070218120512
86309b117ffffff,0.9057838336907639
8630a56d7ffffff,0.5281737534101885
86309c747ffffff,0.9330779294994113
8630b088fffffff,0.5255102032546712
8641a561fffffff,0.6843607113724095
863011257ffffff,0.7422307106711387
86309635fffffff,0.8034870170666042
8641b28b7ffffff,0.8264254641064928
86309b92fffffff,0.9834985195091276
863098237ffffff,0.9239306267195138
86309a19fffffff,0.9165436665443567
86309b86fffffff,0.9852209259980508
8641b569fffffff,0.6487168548880454
864188907ffffff,0.5960673371769085
864b328d7ffffff,0.8184010236572562
86309eb77ffffff,0.938130909998467
8630b4ac7ffffff,0.4399170463550731
864b34b37ffffff,0.880364779376579
86309b80fffffff,0.9708166937641343
86309baf7ffffff,0.9136578898867652
863098a9fffffff,0.9016258812470698
863098027ffffff,0.9238820226552661
8641a0c77ffffff,0.7702711289093733
86319b987ffffff,0.5881582681190963
86418d447ffffff,0.5944177711147266
864b3290fffffff,0.8193048011386878
86309bc37ffffff,0.8781270633317364
864b3085fffffff,0.7738988487825486
86309c807ffffff,0.8657875281901997
864b3450fffffff,0.7933751279432437
863091a67ffffff,0.8984442236820138
86309d7afffffff,0.8851458711179561
8641b2c57ffffff,0.8638057411770944
8630a2717ffffff,0.5928517251304155
8630112e7ffffff,0.7366308472587626
8630b4c9fffffff,0.5299713179445247
863080077ffffff,0.7298904819362755
86309e75fffffff,0.8305032695927429
8630b581fffffff,0.5125808680285469
8641a098fffffff,0.7801412658480007
8630a27afffffff,0.6300176421940049
863098207ffffff,0.9496916264703217
86309a9a7ffffff,0.8912128141149324
864182c2fffffff,0.5565108876010412
863093137ffffff,0.8542173430260047
8641915a7ffffff,0.6001848718385936
8630acc07ffffff,0.8221470679491278
86319d297ffffff,0.6138615364576072
8641a05b7ffffff,0.5886794301674056
864196857ffffff,0.7983856008981025
863098567ffffff,0.9108436124633517
863090a47ffffff,0.7888855404480325
8641a662fffffff,0.6897196690740884
864b36207ffffff,0.7181724364212801
8630826d7ffffff,0.8700385383817932
8630a5757ffffff,0.7498431810461066
8630a5ccfffffff,0.648224472609569
8630a2a17ffffff,0.3516611102467362
8641945a7ffffff,0.7378088178091591
86309626fffffff,0.7750939967011423
8630a42cfffffff,0.704204383497568
86319b617ffffff,0.4025698562872938
8630a4207ffffff,0.7322808717979978
863090a4fffffff,0.7897198406393792
8630994e7ffffff,0.9519095170855435
863098d57ffffff,0.9276906475135094
8630a5567ffffff,0.6790003917298968
86419478fffffff,0.8492682835512708
8630b5dafffffff,0.6229487693122833
8641b0237ffffff,0.516303750400566
8630b02afffffff,0.7898463817257716
8630862efffffff,0.7608708758116106
8630a2757ffffff,0.68239857229206
86309b917ffffff,0.9475152031030251
863098a97ffffff,0.8948632823721745
8630910a7ffffff,0.9227422532848826
8630acc2fffffff,0.8106066760804642
8641b1d37ffffff,0.6344265402016283
86418e5b7ffffff,0.7776270120408251
8641968d7ffffff,0.7940969061445532
86309d087ffffff,0.8450156741524684
86309bb37ffffff,0.9792094678002982
8641947afffffff,0.8704855919551583
86309b837ffffff,0.9522410492789632
86309cd87ffffff,0.9169621320813024
86309c2c7ffffff,0.9209653958899786
86318b4afffffff,0.6510083733698167
863094327ffffff,0.7649320662307347
86309c4c7ffffff,0.935786176928316
8630b42b7ffffff,0.3778298202254277
863084d97ffffff,0.4813995029724955
86309b827ffffff,0.9589702922304596
8630a278fffffff,0.5756610079159485
86309948fffffff,0.9878097053643975
863098467ffffff,0.9106463147965896
86309b907ffffff,0.9637451143832491
863086d47ffffff,0.6834631426155565
8630b4cb7ffffff,0.5187066035536891
863081cb7ffffff,0.6894650801396671
8641a8a77ffffff,0.3614925329832094
8630a174fffffff,0.7643091308191384
8630b414fffffff,0.39703096750891476
863096347ffffff,0.7631549868072245
86309a5afffffff,0.9091576115890481
8630b569fffffff,0.5903840175929699
86308234fffffff,0.7363027102730587
864b32cb7ffffff,0.8590300477544035
86418e18fffffff,0.4891931556596285
8630b30d7ffffff,0.4100213703668976
86309c4e7ffffff,0.9005545157884342
86309a41fffffff,0.9129193586405249
86309ab5fffffff,0.8641740761741264
863092b6fffffff,0.6902061525926197
86309a4efffffff,0.8835452817405541
864184d4fffffff,0.4303069960279534
8630983afffffff,0.8784836237451977
863091cd7ffffff,0.9183490315427817
8630982f7ffffff,0.9657971351300094
864b3434fffffff,0.8946938721726835
8630a471fffffff,0.6758518611072296
8641b5a97ffffff,0.7704985759978428
86309856fffffff,0.9261778784735251
863098387ffffff,0.8658938798749252
8630980a7ffffff,0.9060463700831581
8630acce7ffffff,0.8255448305616943
863098d6fffffff,0.9133051897094888
8630b2267ffffff,0.6003716820827617
86309cb37ffffff,0.7750705190187158
8641b040fffffff,0.5763534124051679
86301281fffffff,0.557450321158915
8630994d7ffffff,0.9842247934117674
8630112cfffffff,0.6826204465250671
863086b27ffffff,0.6090605037262578
863098d1fffffff,0.9606268773081101
8630a6c57ffffff,0.7069349134339971
86301e8a7ffffff,0.5211660378041768
8630849a7ffffff,0.4884961457753741
86309446fffffff,0.7731015313765314
86419e4a7ffffff,0.7013857292404547
8641b50c7ffffff,0.5957327605310474
86309c3b7ffffff,0.8406880664855603
86309a86fffffff,0.8794996982683964
864196917ffffff,0.7515727509762669
86309e48fffffff,0.5885785908197492
86318b41fffffff,0.6121497554927424
8630a5477ffffff,0.5991042364740716
86418ed2fffffff,0.5808236259014457
8640b64f7ffffff,0.375966051987892
